sentence_id,sentence,num_parses,num_tokens,ambiguity_ratio,parse_depth_variance,parse_depth_mean,parse_depth_std,parse_entropy,total_tokens,content_words,function_words,lexical_density,noun_count,verb_count,adj_count,adv_count,adj_noun_ratio,adv_verb_ratio,noun_verb_ratio,ttr,subordination_count,coordination_count,tree_depth,num_nodes,num_leaves,tree_width,branching_factor,unique_rules,total_rules,tree_depth_mean,tree_depth_std,num_nodes_mean,num_nodes_std,num_leaves_mean,num_leaves_std,tree_width_mean,tree_width_std,branching_factor_mean,branching_factor_std,unique_rules_mean,unique_rules_std,total_rules_mean,total_rules_std
0,"Como fan de las series españolas y de Najwa, esto duele, la serie es muy mala.",48,19,2.526315789473684,2.4722222222222228,7.833333333333333,1.5723301886761007,5.584962500721156,19,8,8,0.42105263157894735,4,2,2,1,0.5,0.5,2.0,0.8947368421052632,1,1,8,33,19,6,2.2857142857142856,29,33,7.833333333333333,1.5723301886761007,32.5,1.1902380714238083,19.0,0.0,6.0,0.0,2.3439029720279723,0.12059800779557414,28.916666666666668,1.2555432644432805,32.5,1.1902380714238083
1,"Manu Ríos da para lo que da, enseñar cacho, Najwa hace de mala, papel repetido que no aporta ninguna capa nueva.",125,25,5.0,0.21734399999999993,7.784,0.46620167309867083,6.965784284662087,25,15,6,0.6,7,5,2,1,0.2857142857142857,0.2,1.4,0.84,0,0,8,43,25,8,2.3333333333333335,35,43,7.784,0.46620167309867083,45.2,1.4966629547095767,25.0,0.0,8.0,0.0,2.19486752827197,0.09151518697109588,37.16,0.932952303175248,45.2,1.4966629547095767
2,Telenovela de mediodía con un guión mediocre y diálogos planos.,152,11,13.818181818181818,1.9049515235457062,10.671052631578947,1.3801998129059814,7.247927513443585,11,6,4,0.5454545454545454,4,0,2,0,0.5,0.0,0.0,1.0,0,1,8,19,11,4,2.25,18,19,10.671052631578947,1.3801998129059814,21.539473684210527,1.0935310920625345,11.0,0.0,4.0,0.0,1.9600563909774438,0.10961234654883728,19.335526315789473,0.6683057816063931,21.539473684210527,1.0935310920625345
3,"En aspectos técnicos como fotografía, sonido, también deja que desear.",2,13,0.15384615384615385,0.25,5.5,0.5,1.0,13,7,3,0.5384615384615384,3,2,1,1,0.3333333333333333,0.5,1.5,0.9230769230769231,1,0,6,20,13,5,2.7142857142857144,19,20,5.5,0.5,19.5,0.5,13.0,0.0,5.0,0.0,2.857142857142857,0.1428571428571428,18.5,0.5,19.5,0.5
4,"Lo peor de Carlos Montero, de largo.",4,9,0.4444444444444444,0.25,7.5,0.5,2.0,9,4,3,0.4444444444444444,3,0,1,0,0.3333333333333333,0.0,0.0,0.8888888888888888,0,0,7,17,9,4,2.0,16,17,7.5,0.5,17.0,0.7071067811865476,9.0,0.0,4.0,0.0,2.007936507936508,0.09014140231429005,16.0,0.7071067811865476,17.0,0.7071067811865476
5,"Los diálogos son penosos, los personajes son puras caricaturas, las tramas se ven venir de lejos y los actores...",80,12,6.666666666666667,0.21000000000000002,6.7,0.45825756949558405,6.321928094887363,12,5,6,0.4166666666666667,2,3,1,0,0.5,0.0,0.6666666666666666,0.9166666666666666,0,0,7,38,22,8,2.3125,31,38,6.7,0.45825756949558405,38.2,1.2489995996796797,22.0,0.0,8.0,0.0,2.3041719258553623,0.10267494746470866,29.375,1.399776767916942,38.2,1.2489995996796797
6,"Pues las tres caras de siempre, ninguna de las cuales sabe vocalizar, y luego las cuotas que tocan y para casa.",16,22,0.7272727272727273,1.25,7.5,1.118033988749895,4.0,22,10,9,0.45454545454545453,5,4,2,1,0.4,0.25,1.25,0.8181818181818182,0,1,6,34,24,6,3.3,29,34,7.5,1.118033988749895,36.75,1.713913650100261,24.0,0.0,7.0,1.0,2.8374138881951385,0.2518054751161067,31.125,1.1110243021644486,36.75,1.713913650100261
7,"Esa también es una serie ligera que no viene a salvar el mundo, pero es que no hay ápice posible de similitud.",420,24,17.5,0.37188208616780044,9.761904761904763,0.6098213559459856,8.714245517666123,24,8,12,0.3333333333333333,3,3,0,2,0.0,0.6666666666666666,1.0,0.7916666666666666,1,2,9,38,24,5,2.642857142857143,34,38,9.761904761904763,0.6098213559459856,40.43809523809524,1.4486368602360176,24.0,0.0,5.0,0.0,2.410420384865597,0.12837576706253967,37.00952380952381,1.2983156714630073,40.43809523809524,1.4486368602360176
8,En ningún sentido.,9,9,1.0,0.8888888888888888,5.666666666666667,0.9428090415820634,3.169925001442312,9,5,0,0.5555555555555556,2,1,1,1,0.5,1.0,2.0,0.8888888888888888,0,0,7,10,4,2,1.5,10,10,5.666666666666667,0.9428090415820634,7.777777777777778,1.1331154474650633,4.0,0.0,2.2222222222222223,0.41573970964154905,1.8722222222222225,0.2789973228775493,7.777777777777778,1.1331154474650633,7.777777777777778,1.1331154474650633
9,Aquí no hay nada cuidado.,7,24,0.2916666666666667,0.5714285714285714,6.0,0.7559289460184544,2.807354922057604,24,10,12,0.4166666666666667,3,6,2,2,0.6666666666666666,0.3333333333333333,0.5,0.9583333333333334,0,2,6,10,6,3,2.25,10,10,6.0,0.7559289460184544,10.0,0.7559289460184544,6.0,0.0,3.0,0.0,2.2976190476190474,0.2553286974943716,10.0,0.7559289460184544,10.0,0.7559289460184544
10,Me he sentido insultado.,6,24,0.25,0.6666666666666666,6.0,0.816496580927726,2.584962500721156,24,11,11,0.4583333333333333,4,5,2,3,0.5,0.6,0.8,0.875,0,1,7,11,5,2,1.6666666666666667,11,11,6.0,0.816496580927726,9.5,0.9574271077563381,5.0,0.0,2.3333333333333335,0.4714045207910317,1.9333333333333333,0.2143033502442879,9.5,0.9574271077563381,9.5,0.9574271077563381
11,La serie es un drama médico que intenta copiar los estilemas yankies adaptándolos al modo español.,800,4,200.0,1.8988999999999998,10.69,1.3780058055030102,9.643856189774725,4,1,2,0.25,0,1,0,0,0.0,0.0,0.0,1.0,0,0,11,32,17,4,2.066666666666667,27,32,10.69,1.3780058055030102,29.9125,1.3972629494837399,17.0,0.0,4.475,0.4993746088859545,2.2543307248307247,0.14220762249139987,27.8025,0.7217989678573946,29.9125,1.3972629494837399
12,La historia de base transcurre en un hospital valenciano representado de manera inverosímil pues el ambiente de hospital representado en la serie dista mucho de la realidad hospitalaria tanto valenciana como española.,338560,6,56426.666666666664,1.8179767064922026,11.062907608695653,1.3483236653312152,18.36905200700139,6,3,2,0.5,0,1,1,2,0.0,2.0,0.0,1.0,0,0,11,55,33,7,2.4545454545454546,41,55,11.062907608695653,1.3483236653312152,58.48918950850662,2.756919264814725,33.0,0.0,5.374291115311909,0.7800566592385361,2.271109660157698,0.14698822533946398,41.89125708884688,1.2333873884442705,58.48918950850662,2.756919264814725
13,"El guión entremezcla dramas médicos mal plateados, con dramas cotidianos pueriles y riículos.",12,16,0.75,0.22222222222222218,6.333333333333333,0.4714045207910316,3.584962500721156,16,6,7,0.375,2,3,2,1,1.0,0.3333333333333333,0.6666666666666666,0.875,0,0,7,24,15,6,2.5555555555555554,22,24,6.333333333333333,0.4714045207910316,23.166666666666668,1.3437096247164249,15.0,0.0,6.0,0.0,2.765740740740741,0.31607183682774614,21.75,1.0103629710818451,23.166666666666668,1.3437096247164249
14,"Los diálogos dan pena, los personajes son de estereotipo.",48,19,2.526315789473684,0.47222222222222215,7.166666666666667,0.6871842709362768,5.584962500721156,19,8,8,0.42105263157894735,2,5,2,0,1.0,0.0,0.4,0.9473684210526315,0,1,6,19,11,4,2.25,16,19,7.166666666666667,0.6871842709362768,21.666666666666668,1.1055415967851334,11.0,0.0,3.6666666666666665,0.4714045207910317,1.9479288073038072,0.10156757987806726,18.25,0.924211375534118,21.666666666666668,1.1055415967851334
15,Típica serie de Netflix distribuidora que suele llenar su grilla con este tipo de bazofias.,472,5,94.4,1.87704682562482,8.491525423728813,1.3700535849465232,8.88264304936184,5,2,2,0.4,0,2,1,0,0.0,0.0,0.0,1.0,0,0,6,24,16,4,2.875,23,24,8.491525423728813,1.3700535849465232,27.491525423728813,1.3854312350242262,16.0,0.0,4.0,0.0,2.325196519582113,0.16713852096478113,25.14830508474576,0.9383751780177841,27.491525423728813,1.3854312350242262
16,Una vez más una producción española me saca de su visionado y me obliga a la crítica negativa.,540,4,135.0,0.9691358024691357,8.555555555555555,0.9844469525927416,9.076815597050832,4,2,1,0.5,1,1,0,0,0.0,0.0,1.0,1.0,0,0,9,34,19,4,2.2,26,34,8.555555555555555,0.9844469525927416,33.2,1.6845705024657702,19.0,0.0,3.5833333333333335,0.4930066485916347,2.2865654062712886,0.16200271623803575,26.98148148148148,0.9045305870949847,33.2,1.6845705024657702
17,Falta talento en todo en este caso concreto.,256,17,15.058823529411764,2.0886077880859375,9.96484375,1.4452016427080123,8.0,17,10,6,0.5882352941176471,4,3,4,0,1.0,0.0,1.3333333333333333,1.0,0,0,10,19,9,3,1.8,18,19,9.96484375,1.4452016427080123,18.625,1.2624381172952597,9.0,0.0,2.82421875,0.5119274383625452,1.84633161976912,0.11744363546235255,16.51171875,1.1455839868374722,18.625,1.2624381172952597
18,"Por favor, si quieren hacer una serie sobre un hospital que se informen un poquito más sobre el funcionamiento de el.",48,33,1.4545454545454546,1.1875,8.75,1.0897247358851685,5.584962500721156,33,19,13,0.5757575757575758,10,1,6,2,0.6,2.0,10.0,0.7575757575757576,2,0,8,41,23,4,2.2222222222222223,35,41,8.75,1.0897247358851685,43.75,1.3616778865306827,23.0,0.0,4.5,0.5,2.0648231009286504,0.07005464457164287,35.666666666666664,0.7453559924999298,43.75,1.3616778865306827
19,Escenas ridículas con diálogos sin sentido.,16,15,1.0666666666666667,1.609375,7.375,1.2686114456365274,4.0,15,10,3,0.6666666666666666,4,2,3,1,0.75,0.5,2.0,0.9333333333333333,0,1,6,12,7,3,2.2,12,12,7.375,1.2686114456365274,13.5,0.8660254037844386,7.0,0.0,2.875,0.33071891388307384,1.9401785714285715,0.12994982842683278,12.9375,0.6584783595532961,13.5,0.8660254037844386
20,Por mgarsos.,5,11,0.45454545454545453,0.4,5.0,0.6324555320336759,2.321928094887362,11,5,4,0.45454545454545453,4,2,0,0,0.0,0.0,2.0,0.9090909090909091,0,0,4,5,3,2,2.0,5,5,5.0,0.6324555320336759,6.0,0.6324555320336759,3.0,0.0,2.0,0.0,1.7,0.1632993161855452,6.0,0.6324555320336759,6.0,0.6324555320336759
21,Es una serie que decepciona a pesar de su potencial.,28,16,1.75,2.095663265306122,9.107142857142858,1.4476405856793744,4.807354922057604,16,9,6,0.5625,5,2,2,0,0.4,0.0,2.5,0.9375,0,0,7,20,11,4,2.111111111111111,20,20,9.107142857142858,1.4476405856793744,22.642857142857142,1.3942300925673667,11.0,0.0,4.0,0.0,1.8717215324358178,0.1081346653705012,20.428571428571427,0.5624291338579865,22.642857142857142,1.3942300925673667
22,La crítica se limita a su primera temporada.,4,51,0.0784313725490196,0.25,8.5,0.5,2.0,51,25,22,0.49019607843137253,4,13,6,6,1.5,0.46153846153846156,0.3076923076923077,0.7647058823529411,1,2,8,17,9,3,2.0,17,17,8.5,0.5,18.75,1.299038105676658,9.0,0.0,3.0,0.0,1.8358585858585859,0.11547336732498661,18.5,1.5,18.75,1.299038105676658
